meeting	sequence	date	type	speaker	statement	code2	code
201412	0	2014-12-17	meeting	YELLEN	Good afternoon, everyone.	5	5
201412	1	2014-12-17	meeting	YELLEN	I think we are ready to begin.	5	5
201412	2	2014-12-17	meeting	YELLEN	The first item we are going to consider is in a joint Board and FOMC meeting, so I need a motion to close the Board meeting.	5	5
201412	3	2014-12-17	meeting	FISCHER	So moved.	5	5
201412	4	2014-12-17	meeting	YELLEN	Without objection, thank you.	5	5
201412	5	2014-12-17	meeting	YELLEN	I’m going to start off by calling on Simon to give us his report on market developments.	61	6
201412	6	2014-12-17	meeting	POTTER	Thank you, Madam Chair.	61	6
201412	7	2014-12-17	meeting	POTTER	Lorie and I will be splitting the Desk briefing into two parts.	61	6
201412	8	2014-12-17	meeting	POTTER	I will discuss financial market developments and some issues related to open market operations.	61	6
201412	9	2014-12-17	meeting	POTTER	After questions and answers on this section, Lorie will discuss testing and some related issues with supplementary normalization tools.	61	6
201412	10	2014-12-17	meeting	POTTER	Over the intermeeting period, US economic data were generally viewed as positive and changes in financial conditions were mixed.	61	6
201412	11	2014-12-17	meeting	POTTER	International developments were in focus with more-accommodative policy adopted or communicated by major central banks, driven by concerns over low inflation and weak growth.	61	6
201412	12	2014-12-17	meeting	POTTER	Low inflation concerns were amplified by sharp declines in oil prices.	61	6
201412	13	2014-12-17	meeting	POTTER	These declines weighed on prices of risk assets linked to energy amid a broad reassessment of the possibility for structurally lower oil prices due to supply-side developments as well as ongoing global growth concerns.	61	6
201412	14	2014-12-17	meeting	POTTER	These factors also contributed to an increase in realized and implied volatility across markets late in the intermeeting period.	61	6
201412	15	2014-12-17	meeting	POTTER	I thought it would be helpful to look back over the year, as price moves across some major asset classes have been meaningfully different from market expectations at the end of last year.	61	6
201412	16	2014-12-17	meeting	POTTER	While large errors in forecasting asset prices should be expected, the constellation of forecast errors for 2014, shown in the top-left panel, is consistent with easier monetary policy abroad than previously anticipated, a positive oil supply shock, and a relative outperformance of the US economy.	61	6
201412	17	2014-12-17	meeting	POTTER	The size of the unexpected decline in Treasury yields is particularly striking, given that most believe the Federal Reserve is nearing the start of policy normalization around mid-2015.	61	6
201412	18	2014-12-17	meeting	POTTER	Over the remainder of this exhibit, I will focus on two aspects of domestic markets:  the market-implied path of the target federal funds rate and declines in measures of longer-dated inflation compensation.	61	6
201412	19	2014-12-17	meeting	POTTER	The top-right panel shows the market-implied federal funds rate path.	61	6
201412	20	2014-12-17	meeting	POTTER	Despite better-than-expected US economic data and some Federal Reserve communications that were perceived as less accommodative than anticipated, market-implied rates changed little on net over the intermeeting period.	61	6
201412	21	2014-12-17	meeting	POTTER	Looking back further, the curve has shifted down and flattened substantially since the end of 2013 despite ongoing improvements in domestic labor market conditions and notable upward revisions in Committee participants’ SEP federal funds rate paths.	61	6
201412	22	2014-12-17	meeting	POTTER	This has resulted in a sizable divergence between the market-implied and SEP-projected rate paths.	61	6
201412	23	2014-12-17	meeting	POTTER	This divergence can be seen in the middle-left panel, which shows the spreads between median SEP rate projections as of the September meeting and corresponding market-implied rates.	61	6
201412	24	2014-12-17	meeting	POTTER	These spreads widened over the course of the year, especially after the September meeting, and are around their widest levels since rate projections were added to the SEP.	61	6
201412	25	2014-12-17	meeting	POTTER	The Desk’s most recent surveys asked respondents to rate the importance of various factors in explaining the difference between the SEP median dots and the market-implied path.	61	6
201412	26	2014-12-17	meeting	POTTER	Dealers and buy-side survey respondents generally assigned the highest importance to different outlooks for the US economy, the view that the SEP median does not represent the Committee’s forecast, and the possibility of remaining at the zero lower bound.	61	6
201412	27	2014-12-17	meeting	POTTER	Negative term premiums and technical factors were assigned a lower importance.	61	6
201412	28	2014-12-17	meeting	POTTER	The middle-right panel uses responses to a range of survey questions, along with the SEP numbers and market-implied rates, to help further identify the importance of these factors.	61	6
201412	29	2014-12-17	meeting	POTTER	The dark blue bars represent the difference between the median SEP dot and the median of the fourth- to seventh-lowest SEP dots, which many market participants believe most closely align with the likely path of the policy rate.	61	6
201412	30	2014-12-17	meeting	POTTER	These dark blue bars are relatively large, which suggests that a key fact in understanding the spread between the median SEP dot and the market-implied path might be that market participants do not view the median dot as representing the future path of the policy rate.	61	6
201412	31	2014-12-17	meeting	POTTER	The light blue bars represent the difference between the median of the fourth to seventh dots and the median of Desk survey respondents’ modal path for the target rate.	61	6
201412	32	2014-12-17	meeting	POTTER	These differences are quite small, which may indicate that market participants close to the Desk survey median have a similar view as to the outlook for the economy and its implications for the target rate as the FOMC participants underlying the median of the fourth to seventh dots.	61	6
201412	33	2014-12-17	meeting	POTTER	The dark red bars represent the difference between the mean expectation and the modal expectation for the target rate from the Desk’s surveys, which incorporates the perceived possibility of remaining at or returning to the zero lower bound along with other downside risks.	61	6
201412	34	2014-12-17	meeting	POTTER	In 2016 and 2017, this accounts for around 30 to 35 basis points of the difference between the median SEP dot and the market-implied rate.	61	6
201412	35	2014-12-17	meeting	POTTER	Finally, the light red bars represent the difference between the mean of respondents’ federal funds rate probability distributions and the market-implied rate, a measure of risk premiums in futures rates.	61	6
201412	36	2014-12-17	meeting	POTTER	These differences are very small at earlier horizons but increase substantially in 2017 to a negative term premium of around 55 basis points.	61	6
201412	37	2014-12-17	meeting	POTTER	In sum, this panel indicates that the spread between the median SEP forecast and the market-implied rate in 2015 and 2016 may be largely due to differences in the perception of the mapping between the SEP dots and the likely path of policy, along with downside risks to modal federal funds rate forecasts.	61	6
201412	38	2014-12-17	meeting	POTTER	While the more substantial divergence in 2017 might be of less concern because of the uncertainty around three- year-ahead forecasts, it does line up with the continued decline in medium- and long- dated forward rates.	61	6
201412	39	2014-12-17	meeting	POTTER	One explanation for this decline is an increase in the market price associated with certain types of adverse economic shocks, as described in a memo from the staff at the Minneapolis Fed.	61	6
201412	40	2014-12-17	meeting	POTTER	The fall in forward rates has been more pronounced in nominal than real rates, producing large declines in market-based measures of inflation compensation.	61	6
201412	41	2014-12-17	meeting	POTTER	The Board staff’s measures of 5- and 10-year inflation compensation have declined roughly 25 to 30 basis points over the period.	61	6
201412	42	2014-12-17	meeting	POTTER	Both the 5- and 10-year breakeven rates, at roughly 1.33 percent and 1.62 percent, respectively, are now at their lowest levels since the height of the euro-area crisis in mid-2010.	61	6
201412	43	2014-12-17	meeting	POTTER	In addition, the Board staff’s measure of five-year, five-year-forward inflation compensation, shown in the bottom-left panel, is at its lowest level since late 2008, when TIPS market liquidity was highly strained.	61	6
201412	44	2014-12-17	meeting	POTTER	As we noted at the previous meeting, the sharp declines in these market-based inflation measures contrasts with the relative stability of primary dealers’ longer-term inflation expectations, also shown in this panel, and with other survey-based measures.	61	6
201412	45	2014-12-17	meeting	POTTER	While not all market measures of forward inflation compensation are as low as the one estimated by Board staff, many of them suggest longer-dated inflation risk premiums are negative under the assumption that long forward inflation expectations remain well anchored near the FOMC’s longer-run inflation objective.	61	6
201412	46	2014-12-17	meeting	POTTER	Amid the relative stability of survey-based inflation measures, the Desk surveys again asked respondents to decompose the decline in the market-based five-year, five- year-forward breakeven inflation rate since early September, in an attempt to capture views about sentiments underlying market pricing.	61	6
201412	47	2014-12-17	meeting	POTTER	The bottom-right panel shows that dealer and buy-side respondents, on average, attributed roughly half of the decline to lower expected CPI inflation, while the other half was attributed to changes in the inflation risk premium and other risk premiums.	61	6
201412	48	2014-12-17	meeting	POTTER	This decomposition is similar to that for the October surveys.	61	6
201412	49	2014-12-17	meeting	POTTER	Factors cited in the surveys as contributing to lower market inflation expectations include declines in energy prices, appreciation of the US dollar, and concerns about global growth and inflation.	61	6
201412	50	2014-12-17	meeting	POTTER	More marginally, some market participants have cited concerns that the Federal Reserve may tighten policy before the economy is sufficiently resilient to withstand higher interest rates.	61	6
201412	51	2014-12-17	meeting	POTTER	Some have also suggested that the deteriorating TIPS market liquidity may be a factor behind the narrowing in breakeven inflation rates.	61	6
201412	52	2014-12-17	meeting	POTTER	However, Desk analysis suggests there was relatively little change in market functioning over most of the intermeeting period, though poor liquidity may have exacerbated the particularly pronounced drop in breakeven inflation rates late last week.	61	6
201412	53	2014-12-17	meeting	POTTER	The top-left panel of your next exhibit shows that measures of forward inflation compensation declined in other developed economies over the course of this year, though Japanese measures are little changed.	61	6
