meeting	sequence	speaker	statement	code	code2	section	fomc	mem_num
200010	0	GREENSPAN	 Good morning, everyone. We begin with Peter Fisher. 	5	5	0.0	1.0	47.0
200010	1	FISHER	 Thank you Mr. Chairman. I will be referring to the package of charts with a peach cover.1 On the first page, as usual, is a chart depicting the forward rates. You will note on the far right of each of the three panels that the recent spike in the current 3-month LIBOR rates, the black line, occurred as their maturities moved into the period that covers the calendar year-end. I don't draw any other significance to that spike. The red lines on the top panels depict United States forward rates. As you can see there, since the September 1st release of the August employment report, both the 6-month and 9-month forward 3-month rates have been driven below the current 3-month LIBOR rate and the 3-month forward 3-month rate. More recently, the 6- and 9-month forward rates have traded down to within less than 10 basis points of the CommitteeÕs current fed funds target rate. Summarized differently, 3-month rates in the second and third quarters of next year are now expected to be below current rates and below those in next yearÕs first quarter as well. ItÕs hard to resist the conclusion that markets are pricing in expectations that the CommitteeÕs next move will be an easing. But there are very few market participants who will say so in words, let alone date it, though they are actually predicting it in their pricing behavior. So, while we see it in the prices, itÕs a funny kind of reflection of group behavior to which few are willing to confess. 	6	61	0.0	0.0	999.0
200010	2	GREENSPAN	 Someone will think of a phrase to describe it, like Òmoney speaks louder than words.Ó 	6	62	0.0	1.0	47.0
200010	3	FISHER	 Yes, that comes to mind. I think your former colleague, Wayne Angell, well summarized this curious state of affairs, at least to my way of thinking. When recently asked what the CommitteeÕs next move would be, he responded that it would occur in the year 2003. [Laughter] Turning to the middle panel, as you can see, the euro forward rates declined a bit after the ECB raised rates on August 31st but moved down principally on September 1st, as United States rates fell after the release of our employment report. They rose again a little but then declined throughout September as evidence seemed to accumulate that euro area growth was slowing and may have hit a near-term peak earlier in the summer. Japanese forward rates, as the green lines in the bottom panel indicate, have become a little noisier as calendar and fiscal year-end dates 1 A copy of the charts used by Mr. Fisher is appended to this transcript. (Appendix 1) 4 have traded into the forward rate maturities, but the overall levels are little changed. On the next page I have shown some long-term rates. The top panel shows United States Treasury yields on 2-year, 10-year, and 30-year securities and the bottom panel has the United States and euro swap rates for those same maturities. In the top panel you can see that from August 31st through last Friday, the latest date depicted there, 2-year Treasury yields declined by about 18 basis points. Those expecting a slowdown in economic activity have eagerly cited this as evidence supporting that outlook. Both 10- and 30-year Treasury yields backed up, with 30-year yields trading above 10-year yields for the first time since January, and this has been eagerly cited by those who have been concerned about inflation risks. Now, I donÕt want to downplay concerns about inflation, which are widely being discussed in the market, particularly with reference to the volatility in oil prices. But the modest backup in yields on 10- and 30-year Treasuries did appear to coincide with a heavy pace of new corporate issuance and with indications from the campaign trail and the Congress that both major political parties might yet find a way to spend some of the surplus. Moreover, in the top part of the bottom panel, you can see that swap rates show a slightly different and less pronounced trajectory. The 2-year swap rate, like the 2-year Treasury yield, fell by 18 basis points from August 31st through last Friday. But the 10-year swap rate fell 8 basis points while the 30-year swap rate was unchanged. At the bottom of the page you can see that euro swap rates, at lower levels, roughly tracked the movements in United States 10- and 30-year swaps, with the 2-year euro declining 17 basis points and the 10-year declining 5 basis points. But the 30-year euro swap backed up by 11 basis points. Thus, both the dollar and the euro 2- to 30-year swap curves steepened by 19 basis points from August 31st through last Friday. But on the dollar side, all of the widening occurred by falling 2-year rates, while on the euro side it was divided between a fall in the 2-year rate and a rise in the 30-year rate. These relative movements in United States and euro area swap curves not only reflect but reinforce the perception that while growth in the United States may be slowing--with the risk of an uptick of inflation, perhaps from oil prices among other things--that in Europe is slowing also. And the slowdown in Europe is from lower levels of growth, while the uptick in inflation could perhaps be of a greater magnitude from the combination of rising oil prices and the falling euro. Turning to the next page and directly to exchange rates, you can see in the top panel the percent change since May 1st in the three major currency pairs. The bottom panel depicts implied volatilities of one-month options 5 for those same pairs. We should recognize, of course, that the dollar has been strong against a number of currencies for some time. But over the course of the summer and into September, among the three major currencies I think we clearly have a problem of a weak and volatile euro, particularly against the yen. The red line showing the euro/yen rate leads the way lower in the top panel, as the spot rate has traded down, and the way higher in implied volatility in the bottom panel. The dollar/yen line, in blue, is remarkably stable across the top panel, with declining implied volatility in September. Why did the euro come under such pressure in September? I see three reasons that work together. First, in anticipation of the Japanese fiscal halfyear- end statement date on September 30th, Japanese investors were seeking to reduce or hedge their euro exposures. Second, in a market with this ready class of euro sellers, there were some very confused policy signals sent by the Europeans. On September 5th Chancellor Schroeder in a prepared speech said that the current euro/dollar exchange rate is more of a reason to be happy than concerned. The ensuing cacophony of official utterances drew attention to the lack of a clear voice on euro exchange rate policy and made the euroÕs exchange rate an increasingly political issue. The third factor was the ECBÕs mistake, in my view, of announcing on September 14th that it would sell accumulated interest on its foreign exchange reserves, amounting to 2.5 billion euros, and that in the future it would consistently sell interest income. I want to be clear that I donÕt think thatÕs a mistake in principle; in principle thatÕs a fine thing for a central bank to do. But timing is everything. IÕm confident that the ECB thought that with this device they could intervene a little without exposing themselves to the credibility loss of an actual intervention. From my way of thinking, by taking an insufficient amount of funds to make a difference in the market, they sent a muted and garbled signal of a ÒnoninterventionÓ intervention. And they created the risk of inducing more euro sellers to come into the market by announcing their intention to buy. Why did we join the intervention on Friday the 22nd? The short answer is virtually every important condition that we spelled out. At the start of that week, 6 was informed Thursday evening, while the details of the agreement were being wor ked out, that Secretary Summers would state on Friday after the operation that United States foreign exchange policy remained unchanged and that a strong dollar is in our national interest. Turning to the operation itself, you can see in the bottom portion of this last page various rates at certain selected times from Wednesday September 20th through last Friday. IÕd like to make three points about the joint intervention operation. Sadly, the operation appears, at least to my cynical eyes, to have been anticipated by some in the market. From WednesdayÕs close to ThursdayÕs close, the euro rose more than a cent, and it rose another cent from ThursdayÕs close to 7 7 a.m. Friday, just before we entered the market. While it is often said that intervention works best when itÕs pushing the market in the direction it already wants to go, this isnÕt quite what we mean by that. Second, even so, I think the operation should be recognized as having been fairly successful in a narrow technical sense. The rate closed on Friday the 22nd at .8784, higher than the prior dayÕs close and higher than the rates when we entered the market. At the close of the following week, Friday the 29th, rates were higher than when we entered the market on the preceding Friday. We can have bigger movements than these, but I donÕt think itÕs reasonable to expect much more of intervention than a one-day or one-week impact, particularly in the absence of a subsequent concrete policy action to which the intervention can be thought of as a bridge. Third, I think the impact on expectations about the CommitteeÕs future actions and United States exchange rate policy was quite limited. During the operation the dollar rose against the yen, as you can see in the exchange rate data on the bottom line of the page. While the December fed funds futures contract came off about 1-1/2 basis points on Friday the 22nd, most people in the market attributed this tiny bit of noise to the weakness in United States equities that day and the previous day rather than to the intervention. Mr. Chairman, for the first time since 1998 I will need a vote of the Committee to ratify the SystemÕs foreign exchange operations. In those operations we sold 669,723,900 United States dollars and purchased 750 million euros as the SystemÕs share of the United States portion of the September 22nd intervention. In domestic operations, the fed funds rate has been quite well behaved since your last meeting. We have redeemed $4.8 billion in Treasuries at auctions under our internal limits and have purchased $6.1 billion in Treasuries in outright operations since your last meeting. I should note that the currency component of M1 has been weaker than we had expected. This reflects both weaker domestic demand and continued net inflows of foreign currency from abroad. Our detailed extended forecast of reserves is available on our Market Source web site. I will need a separate vote of the Committee to ratify our domestic operations. IÕd be happy to answer any questions. 	6	62	0.0	0.0	999.0
200010	4	GREENSPAN	 How much money did the American taxpayer lose by our buying 750 million euros at a higher price than we would have had there not been front-running? 	6	62	0.0	1.0	47.0
200010	5	FISHER	 I havenÕt made that calculation, but IÕm sure we could do it in just a few minutes; it could be done off of the rates I have provided here. 8 	6	62	0.0	0.0	999.0
200010	6	GREENSPAN	 ItÕs at least a couple of percent. 	6	62	0.0	1.0	47.0
200010	7	FISHER	 Yes, itÕs a couple of percent. 	6	62	0.0	0.0	999.0
200010	8	KOS	 ItÕs about 15 to 30 million dollars. 	6	62	0.0	0.0	999.0
200010	9	FISHER	 Dino gave you the answer: ItÕs about 15 to 30 million dollars. 	6	62	0.0	0.0	999.0
