meeting	sequence	date	type	speaker	statement	newcode	mem_num
201603	0	2016-03-16	meeting	YELLEN	Let’s begin.	50.0	65.0
201603	1	2016-03-16	meeting	YELLEN	Welcome, everybody.	50.0	65.0
201603	2	2016-03-16	meeting	YELLEN	As for our past meetings, this entire meeting will be a joint meeting of the FOMC with the Board of Governors, and I need a motion to close the Board meeting.	50.0	65.0
201603	3	2016-03-16	meeting	FISCHER	So moved.	50.0	108.0
201603	4	2016-03-16	meeting	YELLEN	Thank you.	50.0	65.0
201603	5	2016-03-16	meeting	YELLEN	Without objection.	50.0	65.0
201603	6	2016-03-16	meeting	YELLEN	Our first order of business is “Financial Developments and Open Market Operations,” and I’m going to ask Simon to start us off.	61.0	65.0
201603	7	2016-03-16	meeting	POTTER	Thank you, Madam Chair.	61.0	999.0
201603	8	2016-03-16	meeting	POTTER	I will begin by discussing global financial market developments, and then Lorie will review money markets and operational matters.	61.0	999.0
201603	9	2016-03-16	meeting	POTTER	Following their worst January since 2009, global risk asset prices continued to exhibit significant volatility over the intermeeting period.	61.0	999.0
201603	10	2016-03-16	meeting	POTTER	The top-left panel of your first exhibit shows that the period can be divided in two.	61.0	999.0
201603	11	2016-03-16	meeting	POTTER	In the first half, risk assets declined sharply, generally continuing the moves seen following the turn of the year.	61.0	999.0
201603	12	2016-03-16	meeting	POTTER	However, since mid-February, risk asset prices have rebounded.	61.0	999.0
201603	13	2016-03-16	meeting	POTTER	Taking a longer view:  On net, since the December FOMC meeting, risk asset prices and advanced economy sovereign debt yields are lower, while the US dollar is a bit weaker.	61.0	999.0
201603	14	2016-03-16	meeting	POTTER	In order to gain greater insight into the price actions seen year-to-date, we asked respondents to the Desk’s surveys to rate the importance of various factors that may explain the recent financial market volatility.	61.0	999.0
201603	15	2016-03-16	meeting	POTTER	As shown in the top-right panel, on average respondents assigned the highest ratings to three factors:  volatility in oil markets, Chinese FX developments, and changes to the outlook for foreign growth and inflation.	61.0	999.0
201603	16	2016-03-16	meeting	POTTER	As I will discuss in more detail in the next three panels, a reduction in heightened concerns over these factors likely contributed to the retracement in risk asset prices since mid-February, although key sources of uncertainty underlying these factors have not been resolved, and this may suggest the rebound is tenuous.	61.0	999.0
201603	17	2016-03-16	meeting	POTTER	Survey respondents also highlighted foreign central bank policy as a contributing factor, and, over the period, investors increasingly questioned the efficacy of monetary policy at the  lower bound in certain developed market economies.	61.0	999.0
201603	18	2016-03-16	meeting	POTTER	I will discuss this later in my briefing.	61.0	999.0
201603	19	2016-03-16	meeting	POTTER	Interestingly, only two respondents mentioned market psychology as an important factor, while one other pointed to reduced market liquidity.	61.0	999.0
201603	20	2016-03-16	meeting	POTTER	Beginning with oil, the middle-left panel shows that oil prices fell back to multi- decade lows in mid-February, and, amid ongoing negotiations between many producers to coordinate an output freeze, prices were volatile over the period, with an intraday trading range generally between 3 and 6 percent.	61.0	999.0
201603	21	2016-03-16	meeting	POTTER	The wide daily swings in oil prices continued to have knock-on effects across global financial markets, and the correlation between changes in oil prices and a number of risk asset prices remained well above longer-run historical averages.	61.0	999.0
201603	22	2016-03-16	meeting	POTTER	Although oil prices increased over the period to roughly $40 per barrel, they’re little changed year-to-date, and the outlook for them remains uncertain.	61.0	999.0
201603	23	2016-03-16	meeting	POTTER	On the supply side, a coordinated output freeze is only speculative at this point, while the outlook for oil demand does not appear to have materially changed.	61.0	999.0
201603	24	2016-03-16	meeting	POTTER	Against this backdrop, market participants continue to expect volatile trading conditions, and options on oil futures suggest price volatility will remain above its post-crisis average in the near term.	61.0	999.0
201603	25	2016-03-16	meeting	POTTER	Moving to China, the stability in recent weeks in the renminbi−US dollar fixing seems to have soothed market concerns.	61.0	999.0
201603	26	2016-03-16	meeting	POTTER	Over the intermeeting period, the onshore renminbi was little changed against the US dollar, broadly consistent with movements in the basket of currencies that many Chinese policymakers describe as the new exchange rate peg.	61.0	999.0
201603	27	2016-03-16	meeting	POTTER	That said, many investors perceive the recent stability as only temporary, in part because it has required high levels of intervention in foreign exchange markets.	61.0	999.0
201603	28	2016-03-16	meeting	POTTER	The middle-right panel shows that Chinese foreign exchange reserves have declined by over $750 billion since the fall of 2014.	61.0	999.0
201603	29	2016-03-16	meeting	POTTER	Despite incremental communication in February from Chinese policymakers indicating an interest in renminbi stability against a basket of exchange rates, many market participants are skeptical that this will be delivered, in light of prior abrupt adjustments to the exchange rate policy.	61.0	999.0
201603	30	2016-03-16	meeting	POTTER	Market participants also point to the perceived pressure from capital outflows, the ongoing opacity concerning the exchange rate regime with respect to the US dollar, and the viability of such a regime.	61.0	999.0
201603	31	2016-03-16	meeting	POTTER	Investors still expect the renminbi to depreciate further against the US dollar over the coming year, and options pricing indicates that the demand for protection against surprise renminbi depreciation is near post-crisis highs and well above levels prevailing prior to the August devaluation.	61.0	999.0
201603	32	2016-03-16	meeting	POTTER	Beth Anne will discuss China and oil prices further in her briefing.	61.0	999.0
201603	33	2016-03-16	meeting	POTTER	While oil prices and the renminbi–US dollar fixing have stabilized in recent weeks, concerns about longer-run global growth prospects or secular stagnation have not receded.	61.0	999.0
201603	34	2016-03-16	meeting	POTTER	The bottom-left panel shows that five-year, five-year-forward real yields in the United States and euro area continued to decline over the intermeeting period.	61.0	999.0
201603	35	2016-03-16	meeting	POTTER	The decline in real yields—alongside persistently low levels of forward inflation compensation—has resulted in a significant flattening in nominal sovereign yield curves, and nominal yields are at or near historic lows.	61.0	999.0
201603	36	2016-03-16	meeting	POTTER	At the intersection of these three factors, the financial sector has experienced heightened volatility and significant asset price declines since the start of the year.	61.0	999.0
201603	37	2016-03-16	meeting	POTTER	The bottom-right panel shows that domestic and European bank stocks have been notable underperformers, as continued net interest margin compression due to flattening yield curves, energy-sector exposure, and idiosyncratic developments weighed on the sector.	61.0	999.0
201603	38	2016-03-16	meeting	POTTER	Concerns over individual bank earnings and escalated doubts over the ability of certain banks to meet debt obligations exacerbated the steep slide in financial-sector stocks in the euro area, Japan, and the United States.	61.0	999.0
201603	39	2016-03-16	meeting	POTTER	The share prices of some large banks were, at one point, 30 percent below the levels prevailing at the start of the year.	61.0	999.0
201603	40	2016-03-16	meeting	POTTER	By contrast, some observers point to emerging markets, which have performed comparatively well so far this year, as an indication that financial market concerns have been overblown.	61.0	999.0
201603	41	2016-03-16	meeting	POTTER	However, the relatively strong performance follows sharp declines across EM assets in the second half of 2015.	61.0	999.0
201603	42	2016-03-16	meeting	POTTER	Further, as I highlighted with respect to China, most assume the current stability has been supported in part by active FX intervention and, therefore, question its sustainability over the medium-to- long term.	61.0	999.0
201603	43	2016-03-16	meeting	POTTER	As volatility in global financial markets rose, expectations for more- accommodative monetary policies from developed-market central banks increased and have only partially retraced in recent weeks.	61.0	999.0
201603	44	2016-03-16	meeting	POTTER	Year-to-date money market futures rates across the euro area, Japan, and the United States have all declined substantially.	61.0	999.0
201603	45	2016-03-16	meeting	POTTER	Further, going into the G-20 meeting in Shanghai, there was increased market chatter about the possibility of coordinated responses across central banks and fiscal authorities as many market participants focused on the international spillover effects and efficacy of monetary policy actions at the zero bound.	61.0	999.0
201603	46	2016-03-16	meeting	POTTER	At the end of January, the Bank of Japan announced a negative interest rate policy to complement its ongoing asset purchase program, an unexpected change to its policy stance, as Japanese policymakers had previously been adamantly against using the tool.	61.0	999.0
201603	47	2016-03-16	meeting	POTTER	Despite the attempt to provide further accommodation and a short-lived positive response in financial markets, Japanese financial conditions tightened considerably in the weeks after the announcement.	61.0	999.0
201603	48	2016-03-16	meeting	POTTER	The top-left panel of your next exhibit shows that the Japanese yen appreciated over 5 percent versus the US dollar and Japan’s TOPIX Index declined 14 percent, on net, in the two weeks after the announcement.	61.0	999.0
201603	49	2016-03-16	meeting	POTTER	Market participants link the moves in market prices in part to inconsistent policy communications, a complicated and unclear tiered system of interest rates on reserve balances, and more-fundamental questions about the efficacy of negative interest rate policy and the remaining capacity of BOJ policy tools to stoke inflation.	61.0	999.0
201603	50	2016-03-16	meeting	POTTER	Indeed, in view of the size of the BOJ’s asset purchase program and the operational concerns associated with negative rates in Japan, the main tool remaining with ample capacity appears to be FX intervention.	61.0	999.0
