meeting	sequence	speaker	statement	code	code2	section	fomc	mem_num
199205	0	GREENSPAN	 Good morning, everyone. Would somebody like to start us off by approving the minutes? 	5	5	0.0	1.0	47.0
199205	1	SPEAKER	 So move. 	5	5	0.0	0.0	999.0
199205	2	GREENSPAN	 Without objection. Bill McDonough, would you start off please? 	5	5	0.0	1.0	47.0
199205	3	MCDONOUGH	 Good morning. Mr. Chairman, ladies, gentlemen. Dollar exchange rates from the time of your last meeting until early last week traded comfortably in ranges of 133 to 135 yen and DM 1.63 to 1.68, but then there was a gradual weakening of the dollar leading to a stronger selling bringing the dollar below 130 yen and 1.60 marks, the lowest levels for the period. Market participants are gloomy about Japanese financial markets even though there is growing hope that the stock market may have found its bottom. It is also gloomy about inflationary pressures and political uncertainty in Germany. Overtaking or overwhelming this gloom about the other major currencies, there is an underlying feeling of weakness in the dollar for the first time since January. This seems to be based on a view that the Federal Reserve will loosen in the next month or two and growing confusion about the meaning of presidential election opinion polls. The downward movement of the dollar against the yen came in three installments. A small move occurred after the G-7 meeting and the mention in the statement that the decline in the yen was not contributing to the adjustment process; the dollar dropped from just over 134 to about 133, in part because the Bank of Japan on instructions from the Ministry of Finance intervened on Monday and Tuesday after the G-7 meeting and sold each day and then later. The second and largest move came last week, when Under Secretary Mulford talked about the need for a stronger yen during Congressional testimony and as the market became more convinced that the Fed might ease again; the dollar dropped to just under 130. Yesterday, the dollar broke the 129 level, at least in part because of some heavy speculative selling that I will describe in a moment. It is just above 129 this morning. The dollar weakened against the DM from a high just above 1.67 to about 1.61 between the end of March and last Friday because of widening interest rate differentials and a widely held view that German interest rates might go up and United States rates might come down. Again, the dollar slumped further yesterday and broke the 1.60 level. It is just above 1.59 today. This weakness of the dollar happened at a time when Germany was experiencing severe labor unrest and inflationary wage settlements to end the public workers strike and avoid one by the metal workers. Settlements of 5.4% and 5.8% for the two groups are well above productivity growth. This complicates further the severe economic cost of German unification. Directly related to the strains of unification is some political disarray. The German Government managed to look inept in its handling of the public workers strike and following settlement. The junior partner in the coalition, the Free Democrats, made themselves and Chancellor Kohl look weak in handling the succession to Foreign Minister Genscher. The denting of Germany's political and economic armor made it possible for several other European countries to act more independently. As the DM weakened somewhat within the Exchange Rate Mechanism of the EMS, the United Kingdom and Ireland reduced short-term interest rates. France reduced reserve requirements and the market believes will follow by reducing short-term rates as well. Nobody has been successful in bringing interest rates below those of Germany, even though the short term rates are converging. German longer term rates, using the 10-year government as a proxy, are still comfortably below those of their neighbors. The desk did not enter into any intervention in the foreign exchange markets since the last meeting. In the last few days, we and the market have become aware of a very large long dollar position held by the Bank Negara of Malaysia, the country's central bank and a well-known and very active participant in foreign exchange markets, whose trading and position-taking activities have been a matter of concern to the Federal Reserve in the past. An educated guess from one of their major trading counterparts is that Bank Negara was at least long as of late last week against Japanese yen, German marks, British pounds and Swiss francs in that order of position size. With the recent weakening of the dollar, there is a very large loss in that position. This became increasingly known by Negara's trading partners and they began to cut back or to trade with Negara, in at least one case, only if Negara sold dollars to reduce its position. These moves forced Negara to look for new counterparties and made its losing hand more visible to the market. We believe that Negara had to dump at least a portion of its dollars yesterday and that this selling of dollars was an important cause of the dollar weakness, as was the shorting of the dollar by those familiar with Negara's position. Bank Negara's situation is an overhang on the dollar which may take some time to work off. We will continue to monitor this situation closely. At the March 31 meeting, the Committee gave its clearance to the Federal Reserve's participation in the sale of DM10 billion from our reserves, DM6 billion for account of the Federal Reserve and DM4 billion from the Exchange Stabilization Fund. We have reached agreement on that sale and are working out the mechanics with the Treasury on their participation. The DM sale is being done as last year in an off-market transaction with the Bundesbank, but at market rates. The DM4 billion spot transaction should be done in the fairly near future and the forward sales set for a series of maturities ending in December. This action will reduce the total reserves in DM by the entire amount of DM10 billion to approximately $20.9 billion equivalent at current exchange rates. We also have total reserves of $17.3 billion equivalent in Japanese yen, $580 million in Swiss francs and about $100 million in other currencies. After the DM sale, therefore, we will have total reserves in foreign currencies equal to just under $39 billion. The Committee will also recall its clearing our plan to sell interest on our reserves as it is earned. We will begin discussions with the Treasury regarding their participation in interest sales. The Bundesbank's Vice President, Hans Tietmeyer, asked me if we would entertain the idea of entering into another sale of DM10 billion, to take place concurrent with the remaining part of the transaction I have just described or perhaps running into the early part of 1993. If we would do so, it would bring United States official reserves down to about $14.7 billion equivalent in DM and $32.7 billion equivalent overall. Before pursuing this matter, which I have brought to the Chairman's attention through Mr. Truman, with the Treasury or entering into any detailed negotiations with the Bundesbank, I would like to request general guidance from the Committee. If you wish to pursue this German idea, I will develop a specific proposal for the Committee's consideration at a future meeting. At that time, we should also consider the currency composition of our reserves. 	6	61	0.0	0.0	999.0
199205	4	GREENSPAN	 I think it's apparent that we're moving in the direction that the Committee very strongly urged in the last year or two. My own personal impression is that we should move in the direction in which [Bundesbank Vice President] Tietmeyer is suggesting with regard to selling United States holdings of marks. The second question that you raised, namely the balance of what we have in our portfolio, is really quite important to address because I get the impression-- indeed, I'm sure--that no coherent mechanism was employed in accumulating these foreign balances in a manner that was in any way related to what was a rational portfolio for long-term intervention purposes. Now that we're finally getting to the point where we're slimming down toward a reasonable aggregative level, it's probably wise to put back on the table what in fact should be the long-term-- both strategic and tactical--position of the Foreign Desk. And I think it might be useful to have some recommendations coming from you in that regard. 	6	62	0.0	1.0	47.0
199205	5	MCDONOUGH	 Certainly. 	6	62	0.0	0.0	999.0
199205	6	GREENSPAN	 I open up the meeting to questions with the specific hope that each member will use the occasion to indicate whether he or she is still on board with the position that we have taken to streamline significantly the aggregative holdings that we had as of a year or two ago. Who would like to start off? 	6	62	0.0	1.0	47.0
199205	7	SYRON	 I think there's an opportunity to move further in the direction that we want to go, and I concur that once we're closer to where we want to be it will be worth thinking [more precisely] about what that position should be. 	6	62	0.0	1.0	51.0
199205	8	KELLEY	 I concur with Mr. Syron. 	6	62	0.0	1.0	48.0
199205	9	ANGELL	 I not only concur, but I really want to express appreciation for Bill McDonough's capturing the spirit of the Board and the FOMC position and very well representing that. It's very comforting to me to know the direction we're going, and I've had time to worry about other things! 	6	62	0.0	1.0	43.0
