meeting	sequence	speaker	statement	code	code2	section	fomc	mem_num
198910	0	GREENSPAN	 Good morning, everyone. Would somebody please move the minutes of August 22? 	5	5	0.0	1.0	47.0
198910	1	SEGER	 I'll move it. 	5	5	0.0	1.0	40.0
198910	2	CORRIGAN	 Second. 	5	5	0.0	1.0	31.0
198910	3	GREENSPAN	 Without objection. Mr. Cross, you've had a dull few weeks! 	5	5	0.0	1.0	47.0
198910	4	CROSS	 I'm not even going to report today! 	5	5	0.0	0.0	999.0
198910	5	BLACK	 That probably means he doesn't want any questions! 	5	5	0.0	1.0	7.0
198910	6	CROSS	" It is useful to look at the last six weeks in terms of two  separate periods--one being the first several weeks after the last  FOMC meeting, and the other being the past 10 days since the Group of  Seven meeting in Washington.  In the weeks immediately after the last FOMC meeting, the  underlying positive sentiment toward the dollar that has characterized  recent months persisted. The dollar remained in demand by customers  and investors, and upward pressure was periodically reinforced by  economic data indicating continued strength of the United States economy. The  upward pressure was resisted from time-to-time by intervention,  especially by ourselves and the Japanese. The United States authorities sold  $1,379 million against the yen and $1,052 million against marks during  that 4-1/2 week period prior to the G-7 meeting.  As the date of the G-7 meeting approached, the market became  wary of the possibility of more aggressive official actions through  intervention and monetary policy adjustments to curb the dollar's  strength. As the market's enthusiasm became more tenuous, the dollar  repeatedly failed to hold its highs.  After the G-7 met on Saturday, September 23, it issued a  communique which expressed unambiguously the concern of the group with  the dollar's rise in recent months, noting that the rise was  ""inconsistent with longer-run economic fundamentals"" and stating that  a further rise--or an excessive decline--could adversely effect world  economic prospects. The Ministers and Governors also expressed their  intention to ""cooperate closely in exchange markets."" As markets opened in Tokyo Monday morning, the dollar began  to decline on the strength of the G-7 statements and reports of  official intervention in other Far East markets. It became known  that, uncharacteristically, the Federal Reserve and the Bank of Canada  had joined the Bank of Japan in selling dollars in Tokyo. Even though  the amounts sold were very small ($50 million for the United States and  for Canada), the operation help signal a firmness in the G-7  resolve. The Europeans then followed through with coordinated dollar  sales. By the time the United States market opened, the dollar had already  moved down significantly, so that we sold only $60 million on Monday  in New York to signal our presence.  The G-7 monetary authorities continued to intervene from time  to time throughout the week, generally at times when there were bouts  of upward pressure. As the week progressed, many market participants  appeared to grow somewhat less confident that the impact of the  official operations would be ephemeral-- particularly as expectations  grew that an increase in interest rates was in the offing for Germany  and other European countries.  Thus from Friday, September 22--the day before the G-7 met,  through the close of business yesterday, the dollar declined by 3.7  percent against the DM and 4.4 percent against the yen. Total United States  intervention during those days amounted to $1,410 million of which  $740 million was against the mark and $670 million against the yen.  Intervention in $/DM and $/Y by the Germans, Japanese and  others during that ten days totaled $1,965 million. Aside from those  key currencies, there were substantial sales of dollars by others  against their home currencies, totalling $3,886 million. Many of  these sales, however, were triggered by problems of those currencies  not directly related to the dollar--most importantly, sterling has been facing its own problems, and the U.K. authorities bought  worth of sterling.  Let me emphasize that in these operations we've tried to  perform a delicate balancing act. We have been acutely aware of the  importance of not driving down the dollar in a falling market, and not  unleashing pressures that would spill over to upset other financial  markets. At the same time it was recognized by the G-7 that, if we  operated only to cushion the pace of the dollar's rise and not turn it  around, the market's strongly positive attitude toward the dollar  would not weaken.  Accordingly we felt we had to act somewhat less defensively  than before in order to curb the dollar's upward momentum while still  exercising care and restraint. The G-7 agreed that, after the release  of the communique, each of us would intervene on a scale related to  movement in the dollar rate. That is, we would intervene in a  substantial amount if the dollar was rising, in a more moderate amount  if the dollar was stable, and not at all or only symbolically if the  dollar was declining significantly. In the event, during the 10-day  period, the dollar was allowed to decline when market forces took it  down, and upward pressures were resisted by intervention.  I think the latest G-7 actions can be seen as a further step  in the effort, beginning with the Louvre Accord, to encourage greater  stability in the exchange rates. To put it in context, the decline in  the dollar that has occurred in the past ten days brings it back to  levels seen as recently as early August. On balance the dollar is  also approximately at the same level, as measured by Mr. Truman's  trade weighted index, as it was at the time of the Louvre. During  that 2-1/2 years since that Accord, we've had four periods of resisting the dollar's rise and three periods of resisting its  decline.  I would like to take a minute for one further comment. The  shadow open market committee has complained about alleged losses on  foreign currency balances. Mr. Truman has sent you an excellent  memorandum pointing out the factual errors in their calculations. Of  course, any time the dollar rises, the dollar value of foreign  currency balances declines, and vice versa. Our own records, which  follow accounting standards and are based on acquisition values, show  a moderate gain. But any calculation of profits and losses is highly  dependent on the base period chosen.  More importantly, it seems to me inappropriate to measure our  success or failure by these unrealized accounting gains and losses,  however calculated. If we chose to drive the dollar down to a very,  very low level we could show huge gains on our foreign currency  balances. But no one would say that would be sensible public policy.  I would also like to report that as authorized by the  Committee, the Federal Reserve joined the ESF in participating in a  financing arrangement for Mexico. The Federal Reserve and the ESF  shared equally in the provision of $168.2 million as part of a $672.6  million multilateral facility. In addition, the United States monetary  authorities provided bilaterally $300 million through the ESF and $700  million from our existing swap arrangement with the Bank of Mexico.  Both the multilateral and bilateral financing facilities are backed by  IMF and IBRD drawings and mature on February 15, 1990.  Mr. Chairman, in closing I would like to ask the Committee's  approval for the foreign exchange operations that occurred during the  intermeeting period. The Federal Reserve share of the Desk's operations represents $1024.5 million sold against Japanese yen and  $896 million sold against German marks.  "	6	61	0.0	0.0	999.0
198910	7	GREENSPAN	 Questions for Mr. Cross? 	6	62	0.0	1.0	47.0
198910	8	HOSKINS	 Where are we relative to our ceiling [on holdings of foreign currencies]? Do you anticipate our having to do more in the intermeeting period ahead in terms of raising the [$20 billion] ceiling? 	6	62	0.0	1.0	49.0
198910	9	CROSS	 We are at just under $1-1/2 billion below the ceiling. Whether it is going to prove necessary to request a further change in that depends very much on how things develop over the months ahead. But we do have $1-1/2 billion which, if we share 50/50 with the Treasury, means that there could be a substantial amount of intervention--$3 billion worth--before we would come up against the ceiling. 	6	62	0.0	0.0	999.0
