meeting	sequence	date	type	speaker	statement	code2	code
201503	0	2015-03-18	meeting	YELLEN	Good morning, everybody.	5	5
201503	1	2015-03-18	meeting	YELLEN	As you know, we had a farewell luncheon for President Plosser at the January meeting.	5	5
201503	2	2015-03-18	meeting	YELLEN	And in a couple of hours, we will also have a chance to say farewell to President Fisher at a luncheon.	5	5
201503	3	2015-03-18	meeting	YELLEN	In light of those departures, I would like to welcome Helen Holcomb back to the table.	5	5
201503	4	2015-03-18	meeting	YELLEN	She represented the Federal Reserve Bank of Dallas here before President Fisher took office and will be representing the Dallas Bank again today.	5	5
201503	5	2015-03-18	meeting	YELLEN	I would also like to welcome Blake Prichard to the table, representing the Federal Reserve Bank of Philadelphia.	5	5
201503	6	2015-03-18	meeting	YELLEN	He is serving as acting president of the Philadelphia Bank until Patrick Harker takes office on July 1.	5	5
201503	7	2015-03-18	meeting	YELLEN	Before we begin today’s agenda, I want to briefly update you about developments that relate to press briefings.	5	5
201503	8	2015-03-18	meeting	YELLEN	At recent meetings, we have discussed the fact that it is important for the Committee not to feel constrained from taking action whenever we deem appropriate, at any meeting, regardless of whether there is a postmeeting press conference scheduled.	97	9
201503	9	2015-03-18	meeting	YELLEN	And a number of you have suggested to me that I schedule press conferences after every meeting.	97	9
201503	10	2015-03-18	meeting	YELLEN	Now, a decision to have press conferences at every meeting is likely to be irreversible.	97	9
201503	11	2015-03-18	meeting	YELLEN	It is something I have, therefore, carefully considered.	97	9
201503	12	2015-03-18	meeting	YELLEN	For now, at least, I think my decision is that it would be best not to schedule press conferences after every meeting.	97	9
201503	13	2015-03-18	meeting	YELLEN	Let me just say that, by way of explanation, the time that is required for me and all of our senior staff to prepare for these press conferences is truly nontrivial.	97	9
201503	14	2015-03-18	meeting	YELLEN	In part, that is because preparations involve being up-to-date not only on matters pertaining to monetary policy and the economy, but also on all matters pertaining to Federal Reserve-related issues.	97	9
201503	15	2015-03-18	meeting	YELLEN	And all of that preparation occurs at exactly the same time when all of us are preparing for these meetings.	97	9
201503	16	2015-03-18	meeting	YELLEN	As I reflect on it—and, again, this is just a decision for now, so I am not saying this can’t be revisited—it seems to me that when we are in a more normal mode for conducting monetary policy, and I hope that time is not too far off, and the economic environment is more normal, every-meeting press conferences, especially after meetings for which there are no forecast updates, are really not likely to have much focus on monetary policy decisions and the economy.	97	9
201503	17	2015-03-18	meeting	YELLEN	What I believe will happen is they will become opportunities for the media to explore a host of nonmonetary policy issues, which ultimately could be a distraction rather than a help to us.	97	9
201503	18	2015-03-18	meeting	YELLEN	That would all occur on meeting days.	97	9
201503	19	2015-03-18	meeting	YELLEN	But, at the same time, though I am not inclined now to go to press conferences every meeting, I do think it is important for us to feel—and also to convince the public and market participants—that we are not constrained from taking decisions at meetings for which there is not a subsequent press conference, so that market expectations of our future actions can be appropriately responsive to incoming data.	97	9
201503	20	2015-03-18	meeting	YELLEN	As I have mentioned in the past, we have long had the capability to conduct press briefings by telephone on very short notice.	97	9
201503	21	2015-03-18	meeting	YELLEN	Chairman Bernanke did so a number of times during the financial crisis.	97	9
201503	22	2015-03-18	meeting	YELLEN	So the plan I would like to propose is that we remind the public, the markets, and the press that we have that capability and would indeed use it when necessary.	97	9
201503	23	2015-03-18	meeting	YELLEN	And, to firm up that expectation, late on the second day of our meeting in April, the Board’s Public Affairs office plans to conduct a test of our system for media conference calls.	97	9
201503	24	2015-03-18	meeting	YELLEN	We will permit news organizations to report afterward that we conducted this test, and we will state that the reason for the test is to refresh news organizations’ familiarity with how the system works, so that we can use it, if necessary, on meeting days when no press conference is scheduled.	97	9
201503	25	2015-03-18	meeting	YELLEN	That is currently the plan, and I welcome any input that any of you would like to offer on it.	97	9
201503	26	2015-03-18	meeting	YELLEN	But that is what we thought, for the moment.	97	9
201503	27	2015-03-18	meeting	YELLEN	Let’s now turn to the agenda.	2	2
201503	28	2015-03-18	meeting	YELLEN	The first two items will be considered in a joint meeting with the Board of Governors, so we need a Board vote to close that meeting.	2	2
201503	29	2015-03-18	meeting	YELLEN	Do I have a motion?	2	2
201503	30	2015-03-18	meeting	FISCHER	So moved, Madam Chair.	2	2
201503	31	2015-03-18	meeting	YELLEN	Thank you.	2	2
201503	32	2015-03-18	meeting	YELLEN	Without objection.	2	2
201503	33	2015-03-18	meeting	YELLEN	I am going to call on Simon Potter to begin the Desk report.	61	6
201503	34	2015-03-18	meeting	POTTER	Thank you, Madam Chair.	61	6
201503	35	2015-03-18	meeting	POTTER	We will be splitting the Desk briefing in two parts.	61	6
201503	36	2015-03-18	meeting	POTTER	I will talk about financial market developments, then Lorie will talk about Desk operations.	61	6
201503	37	2015-03-18	meeting	POTTER	Over the intermeeting period, the backdrop of monetary policy easing overseas, relative stability in oil prices, and some positive global economic data reportedly contributed to a reduction in perceived downside global growth risks.	61	6
201503	38	2015-03-18	meeting	POTTER	Longer-dated forward interest rates among major developed economies diverged over the period, as shown in the top-left panel of your first exhibit.	61	6
201503	39	2015-03-18	meeting	POTTER	The trend of declining longer-run nominal interest rates since the start of 2014 partially retraced itself in the United States and United Kingdom, as some incoming economic data, most notably employment reports, reinforced expectations that the Federal Reserve and Bank of England will begin normalizing policy within the next year.	61	6
201503	40	2015-03-18	meeting	POTTER	The top-right panel shows a summation of daily changes in US yields over the period, bucketed into a few categories based on market commentary.	61	6
201503	41	2015-03-18	meeting	POTTER	Increases in both short- and longer-dated yields occurred on days with stronger-than-expected US employment reports and higher-than-expected inflation data, among other factors.	61	6
201503	42	2015-03-18	meeting	POTTER	These influences in combination more than offset the declines in rates that followed the start of ECB purchases and Federal Reserve communications including the January statement, minutes, and the Chair’s testimony before the Congress.	61	6
201503	43	2015-03-18	meeting	POTTER	These Federal Reserve communications were generally interpreted as slightly more accommodative than expected due to discussion of the balance of risks around the start of normalization and the outlook for persistently low inflation.	61	6
201503	44	2015-03-18	meeting	POTTER	However, not all market participants interpreted Federal Reserve commentary as more accommodative than expected.	61	6
201503	45	2015-03-18	meeting	POTTER	Many market participants expect policy normalization to begin in the second or third quarter of 2015.	61	6
201503	46	2015-03-18	meeting	POTTER	This is shown in the middle-left panel, which indicates that the average probability assigned to liftoff occurring in June or September increased modestly from the January surveys.	61	6
201503	47	2015-03-18	meeting	POTTER	This panel also shows that the distribution of individual beliefs about liftoff timing is dispersed, consistent with some of the differing interpretations of Federal Reserve communications over the intermeeting period to which I just alluded.	61	6
201503	48	2015-03-18	meeting	POTTER	Desk and private surveys also indicate that the vast majority of respondents anticipate the Committee will drop the “patient” language from the statement at this meeting, and the Desk surveys suggest this would result in only a small increase in the average probability assigned to a June liftoff.	61	6
201503	49	2015-03-18	meeting	POTTER	Desk survey respondents expect liftoff to occur against a backdrop of very subdued realized inflation.	61	6
201503	50	2015-03-18	meeting	POTTER	The median response for the mostly likely level of 12-month headline PCE inflation at liftoff declined to 0.4 percent in the March survey, as shown in the first column of the middle-right panel.	61	6
201503	51	2015-03-18	meeting	POTTER	For 12-month core PCE inflation at liftoff, the median response was 1.4 percent, with an interquartile range of 1.3 to 1.5 percent.	61	6
201503	52	2015-03-18	meeting	POTTER	Although the median point forecast for PCE inflation 1 to 2 years after liftoff remains 2 percent, shown in the second column, the odds that both dealers and buy-side respondents assign to inflation over that horizon remaining below 1.75 percent has increased substantially over recent months.	61	6
201503	53	2015-03-18	meeting	POTTER	This is shown in the final two columns.	61	6
201503	54	2015-03-18	meeting	POTTER	The Board’s measure of five-year, five-year-forward inflation compensation moved up slightly, on net, as shown in the bottom-left panel.	61	6
201503	55	2015-03-18	meeting	POTTER	However, this measure remains far below its average level since 2003.	61	6
201503	56	2015-03-18	meeting	POTTER	Currently, US forward inflation compensation appears to be surprisingly linked to changes in the price of oil, as can be seen by comparing the trajectories in the bottom-left panel.	61	6
201503	57	2015-03-18	meeting	POTTER	The US dollar continued to broadly appreciate against both major and emerging market currencies over the intermeeting period, with the DXY dollar index higher by 6.5 percent and at its strongest level since 2002.	61	6
201503	58	2015-03-18	meeting	POTTER	Contributing to this move was a 7.5 percent weakening of the euro versus the US dollar, shown in the bottom-right panel, which came alongside a 27 basis point widening of the US–German 2-year yield spread over the period.	61	6
201503	59	2015-03-18	meeting	POTTER	Since the announcement of the public sector asset purchase program at the January ECB meeting, European equities have increased by about 12 percent, as shown in the top-left panel of your next exhibit.	61	6
201503	60	2015-03-18	meeting	POTTER	In contrast, the S&P 500 is little changed, on net, over the same period.	61	6
201503	61	2015-03-18	meeting	POTTER	Euro-area corporate credit spreads have also tightened since January, and there has been a substantial narrowing of peripheral sovereign spreads to Germany.	61	6
201503	62	2015-03-18	meeting	POTTER	The announcement of ECB sovereign debt purchases reportedly contributed to stable peripheral sovereign spreads amid Greek financial assistance negotiations.	61	6
201503	63	2015-03-18	meeting	POTTER	Steve Kamin will discuss the Greek situation in his briefing.	61	6
201503	64	2015-03-18	meeting	POTTER	The ECB announced at its recent meeting that purchases would be restricted to bonds with yields above the deposit facility rate, which currently stands at negative 20 basis points.	61	6
201503	65	2015-03-18	meeting	POTTER	This constraint currently renders 2- and 3-year bunds ineligible and will force the Bundesbank to extend the duration of its purchases unless rates on these securities increase above the deposit facility rate.	61	6
201503	66	2015-03-18	meeting	POTTER	Following the commencement of purchases last Monday, the German yield curve flattened substantially, as shown in the top-right panel.	61	6
201503	67	2015-03-18	meeting	POTTER	German yields are now negative out to 7 years, the 10-year German-US interest rate differential is at its widest level in at least 25 years, and the German 30-year yield trades at similar levels to that of a US 2-year note.	61	6
201503	68	2015-03-18	meeting	POTTER	The negative interest rate environment in Europe has become more pervasive and pronounced, as shown in the middle-left panel.	61	6
201503	69	2015-03-18	meeting	POTTER	Over the intermeeting period, the Danish National Bank cut its deposit rate to negative 75 basis points to defend its euro currency peg, while the Riksbank moved its main policy rate to negative 10 basis points and initiated a small asset purchase program.	61	6
201503	70	2015-03-18	meeting	POTTER	There has been some pass-through by banks of negative rates to large corporate depositors but less pass- through to retail-level customers.	61	6
201503	71	2015-03-18	meeting	POTTER	Contacts have not reported major shifts in market structure, investor behavior, or market functioning due to negative rates.	61	6
201503	72	2015-03-18	meeting	POTTER	It is possible that more sovereign assets in the euro area will trade at negative yields as the ECB asset purchase program continues.	61	6
201503	73	2015-03-18	meeting	POTTER	The ECB’s constraint that purchases must be of assets with yields above negative 20 basis points might interact with additional constraints related to the capital key, issue, and issuer share to skew purchases further out on the yield curve, placing additional substantial downward pressure on yields.	61	6
201503	74	2015-03-18	meeting	POTTER	This feedback loop might be amplified if, as many market participants believe, holders of longer-dated debt are somewhat price-insensitive because of investment mandates or regulations.	61	6
201503	75	2015-03-18	meeting	POTTER	Thus, some have noted concerns about the potential for a notable deterioration in euro-area sovereign market functioning.	61	6
201503	76	2015-03-18	meeting	POTTER	Large-scale asset purchases are having a pronounced effect on the JGB market.	61	6
201503	77	2015-03-18	meeting	POTTER	As shown in the middle-right panel, yields and measures of implied volatility rose sharply in mid-January.	61	6
201503	78	2015-03-18	meeting	POTTER	The catalyst for this is unclear, although the moves disturbed fragile Japanese rates market dynamics that are dominated by BOJ purchase operations, leading to some paring back of dealer marketmaking activity and several poorly received JGB auctions.	61	6
201503	79	2015-03-18	meeting	POTTER	Despite their adverse effect on JGB market functioning, large-scale asset purchases in Japan still appear to be having substantial effects on risk assets and the exchange rate as portfolio rebalancing continues.	61	6
201503	80	2015-03-18	meeting	POTTER	Volatility and market functioning have also been in focus in FX markets, particularly amid rapid dollar appreciation.	61	6
201503	81	2015-03-18	meeting	POTTER	Some are concerned that the next sharp currency move may be in China.	61	6
201503	82	2015-03-18	meeting	POTTER	The official dollar-RMB central parity rate has slowly moved higher over recent months, and the onshore dollar-RMB rate has traded toward the top of its trading band, shown in the bottom-left panel.	61	6
201503	83	2015-03-18	meeting	POTTER	As shown in the bottom-right panel, implied volatility in a number of markets has increased, and there have been some pronounced spikes in volatility.	61	6
201503	84	2015-03-18	meeting	POTTER	As was detailed in the October 15 memo recently sent to the Committee, the nature of Treasury market liquidity has changed over recent years, reflecting an increased role of algorithmic and high-frequency trading activity and decreased shock-absorbing capacity of dealers.	61	6
201503	85	2015-03-18	meeting	POTTER	Some market participants have noted that recent spikes in volatility, particularly the intensity of intraday moves, will produce changes in risk management that could further limit capital deployed to marketmaking in volatile markets.	61	6
201503	86	2015-03-18	meeting	POTTER	These changes in structure are common across a range of markets and might lead to more frequent sharp price moves.	61	6
201503	87	2015-03-18	meeting	POTTER	While market participants often point out these risks, they also acknowledge that US financial firms are stronger and the financial system is better positioned to handle such bursts of volatility than prior to the financial crisis, consistent with the conclusions from recent QS reports.	61	6
201503	88	2015-03-18	meeting	POTTER	That completes my report.	61	6
201503	89	2015-03-18	meeting	POTTER	We would be happy to take questions.	61	6
201503	90	2015-03-18	meeting	YELLEN	Questions?	62	6
201503	91	2015-03-18	meeting	YELLEN	President Kocherlakota.	62	6
201503	92	2015-03-18	meeting	KOCHERLAKOTA	Yes.	62	6
201503	93	2015-03-18	meeting	KOCHERLAKOTA	Actually, it is more of a comment than a question.	62	6
201503	94	2015-03-18	meeting	KOCHERLAKOTA	On figure 5, it is true that the inflation compensation and oil prices have moved surprisingly together.	62	6
201503	95	2015-03-18	meeting	KOCHERLAKOTA	But I think it is also worth noting that, at least to my eyes, the timing of the turndown in inflation compensation is not aligned precisely, as far as I can tell.	62	6
201503	96	2015-03-18	meeting	POTTER	In the past week, that is true.	62	6
201503	97	2015-03-18	meeting	POTTER	The TIPS breakeven inflation went down the first two days of the week.	62	6
201503	98	2015-03-18	meeting	POTTER	Most of the action in oil prices was toward the end of the week, when there was an announcement of record production in the United States in February.	62	6
201503	99	2015-03-18	meeting	YELLEN	Other questions for Simon?	62	6
201503	100	2015-03-18	meeting	YELLEN	President Evans.	62	6
201503	101	2015-03-18	meeting	EVANS	In table 4, exhibit 1, you have expectations for inflation at liftoff, and it looks like more people in the markets are thinking that we will lift off when the two-year-ahead inflation outlook is under 1¾ percent.	62	6
201503	102	2015-03-18	meeting	EVANS	It is a little out of order, but I was looking at the SEP tables, and I noticed that there is an appendix to table 2 that shows our responses on the timing of our liftoff and the economic conditions in the quarter that we do that.	62	6
201503	103	2015-03-18	meeting	EVANS	And I was a little surprised by the very low core PCE inflation numbers that everybody has in there.	62	6
201503	104	2015-03-18	meeting	EVANS	I see 1.1, 1.2, 1.3 percent.	62	6
201503	105	2015-03-18	meeting	EVANS	Simon, do you think that the market participants would find this piece of information to be particularly noteworthy when contrasted with what they have priced in, or how they are thinking about it?	62	6
201503	106	2015-03-18	meeting	POTTER	If the Committee released details on what individual participants thought economic conditions will be at liftoff, it would be noteworthy for a number of reasons.	62	6
201503	107	2015-03-18	meeting	EVANS	Yes.	62	6
201503	108	2015-03-18	meeting	EVANS	In terms of the informational content.	62	6
201503	109	2015-03-18	meeting	POTTER	I do think that the core inflation numbers you quoted to me sounded like they were a little bit below the lower quartile of 1.3 percent that we got from our responses.	62	6
201503	110	2015-03-18	meeting	POTTER	So I would imagine that, as the inflation data came along, the information would have some effect on expectations of the timing of liftoff.	62	6
201503	111	2015-03-18	meeting	POTTER	If you did not see firmer core inflation data but saw data that is about the same as what we are currently receiving, people might view that as suggesting that liftoff would still be quite likely.	62	6
201503	112	2015-03-18	meeting	EVANS	Another question I had in looking at your table is whether there is any way for you to get additional information on what the survey respondents are probably thinking about our attitudes toward hitting our inflation objective of 2 percent?	62	6
201503	113	2015-03-18	meeting	POTTER	Market participants freely give you a lot of viewpoints on how the Federal Reserve is doing.	62	6
201503	114	2015-03-18	meeting	POTTER	And some of them do express some skepticism about the 2 percent inflation goal, if that answers your question.	62	6
201503	115	2015-03-18	meeting	EVANS	Well, I guess I am wondering about the combination of these two pieces of information.	62	6
201503	116	2015-03-18	meeting	POTTER	When we just ask them for the point estimate, for most of the responses, the median response is 2 percent.	62	6
201503	117	2015-03-18	meeting	POTTER	You see a difference between the sell side, the dealers, who are firmer in that belief than the buy side.	62	6
201503	118	2015-03-18	meeting	POTTER	A lot of what you have seen over the past few months is people on the buy side who are skeptical about how the 2 percent inflation goal might affect liftoff.	62	6
201503	119	2015-03-18	meeting	POTTER	And you saw that reflected last time in the responses from the buy side to the distribution question.	62	6
201503	120	2015-03-18	meeting	POTTER	The dealers did catch up with it this time.	62	6
201503	121	2015-03-18	meeting	POTTER	I was actually surprised with the data, as I thought those probabilities were most likely to have gone down, in response to the inflation data we saw over the intermeeting period.	62	6
201503	122	2015-03-18	meeting	EVANS	Thank you.	62	6
201503	123	2015-03-18	meeting	YELLEN	Further questions for Simon?	62	6
201503	124	2015-03-18	meeting	YELLEN	[No response]	62	6
201503	125	2015-03-18	meeting	YELLEN	Okay.	62	6
201503	126	2015-03-18	meeting	YELLEN	I’m going to turn to Lorie to continue the briefing.	61	6
201503	127	2015-03-18	meeting	LOGAN	I’ll discuss testing of tools for normalizing policy and some longer-term changes in money markets and conclude with options for a resolution for quarter-end term RRP testing.	61	6
201503	128	2015-03-18	meeting	LOGAN	Before turning to testing, I want to note our current projections for MBS reinvestments, shown in the top-left panel of your third exhibit.	61	6
201503	129	2015-03-18	meeting	LOGAN	We estimate that MBS reinvestments in 2015 will total about $330 billion, roughly $70 billion lower than our estimate at the January meeting due to the increase in Treasury yields but still notably higher than anticipated in December.	61	6
201503	130	2015-03-18	meeting	LOGAN	Reinvestment purchase operations continue to go smoothly, and MBS liquidity remains stable.	61	6
201503	131	2015-03-18	meeting	LOGAN	Over the period, the Federal Reserve executed three overlapping 21-day TDF operations at 28 basis points with same-day settlement and a $20 billion counterparty cap at each operation.	61	6
201503	132	2015-03-18	meeting	LOGAN	As shown in the top-right panel, the total amount of term deposits reached $404 billion, roughly the same size as the largest operation in the prior testing series, conducted at a slightly higher rate of 30 basis points.	61	6
201503	133	2015-03-18	meeting	LOGAN	The two largest participants accounted for $170 billion.	61	6
201503	134	2015-03-18	meeting	LOGAN	One of these firms, which participated under two separate legal entities and placed a total of $110 billion, indicated that it would have committed roughly $40 billion more if participation was not capped.	61	6
201503	135	2015-03-18	meeting	LOGAN	The other firm suggested it did not have additional demand for TDFs.	61	6
201503	136	2015-03-18	meeting	LOGAN	As expected, the operations did not appear to put upward pressure on short-term rates, and counterparties suggested that, in the current environment, reserve draining from term tools would need to be much larger to directly affect market rates.	61	6
201503	137	2015-03-18	meeting	LOGAN	As outlined in communications in advance of the meeting, the staff has been making progress on a revision to the methodology for the payment of interest on reserves that should help tighten the linkage between the level of the IOER rate on any given day and the level of the effective federal funds rate on that day.	61	6
201503	138	2015-03-18	meeting	LOGAN	Programming efforts are proceeding, and the staff expects to publish a Federal Register notice describing the proposed changes soon after this meeting.	61	6
201503	139	2015-03-18	meeting	LOGAN	The staff also continues to conduct RRP test operations.	61	6
